"Uptime (ms)","System (%)","Time spent in GC (%)","Process (kernel) (%)","Process (user + kernel) (%)"
"4500","0","0","0","0"
"5500","100","0","2","16"
"6500","100","0","2","22"
"7700","100","0","2","21"
"8800","92","0","3","16"
"10700","100","0","3","22"
"11800","97","0","1","11"
"12800","96","0","4","26"
"13800","91","0","6","29"
"14800","91","0","7","27"
"15800","96","0","9","31"
"16800","85","0","8","29"
"17800","84","0","10","28"
"18800","86","0","8","29"
"19800","98","0","6","27"
"20800","87","0","5","25"
"21800","90","0","3","32"
"22800","96","0","6","50"
"23800","92","0","9","36"
